KABR	ABERDEEN REGIONAL AIRPORT	SD	45-27N	098-25W
KRAP	RAPID CITY REGIONAL AIRPORT 	SD	44-03N	103-03W
KGCC	GILLETTE-CAMPBELL CTY AIRPORT 	WY	44-20N	105-33W
KSHR	SHERIDAN COUNTY AIRPORT	WY	44-46N	106-58W
KCOD	Cody	WY	44-31N	109-01W
KBPI	BIG PINEY-MARBLETON AIRPORT	WY	42-35N	110-06W
KRIW	RIVERTON REGIONAL AIRPORT	WY	43-04N	108-27W
KBIL	LOGAN INTERNATIONAL AIRPORT	MT	45-49N	108-33W
KBOI	BOISE AIR TERMINAL	ID	43-34N	116-14W
KBNO	BURNS MUNICIPAL AIRPORT	OR	43-36N	118-57W
KPDT	PENDLETON MUNICIPAL AIRPORT	OR	45-70N	118-83W
KEUG	MAHLON SWEET FIELD	OR	44-08N	123-13W
KSLE	SALEM MCNARY FIELD	OR	44-54N	123-00W
KPDX	PORTLAND INTERNATIONAL  AIRPORT	OR	45-35N	122-36W
KCAR	CARIBOU MUNICIPAL AIRPORT	ME	46-52N	68-01W
KPQI	Presque Isle	ME	46-41N	068-03W
KANJ	SAULT STE. MARIE MUNI	MI	46-29N	084-21W
KPKF	Park Falls	WI	45-56N	090-27W
KMQT	Marquette	MI	46-32N	087-33W
KCMX	HANCOCK HOUGHTON CTY. MEMO	MI	47-10N	088-29W
KDLH	Duluth, Duluth International Airport	MN	46-50-34N	092-13-34W
KINL	FALLS INTERNATIONAL AIRPORT 	MN	48-34N	093-24W
KP39	Pequot Lake	MN	46-36N	094-19W
KFAR	HECTOR INTERNATIONAL AIRPORT 	ND	46-56N	096-49W
KBJI	Bemidji	MN	47-30N	094-56W
KD45	Warroad	MN	48-56N	095-21W
KP11	Devils Lake	ND	48-06N	098-52W
KBIS	BISMARCK MUNICIPAL AIRPORT	ND	46-47N	100-45W
KP24	Roseglen	ND	47-45N	101-50W
KISN	SLOULIN FIELD INTERNATIONAL  AIRPORT	ND	48-11N	103-39W
KGGW	GLASGOW INTERNATIONAL AIRPORT 	MT	48-13N	106-37W
KHLN	HELENA REGIONAL AIRPORT	MT	46-36N	111-58W
KMSO	MISSOULA INTERNATIONAL AIRPORT 	MT	46-55N	114-06W
KGTF	GREAT FALLS INTERNATIONAL	MT	47-28N	111-23W
KHVR	HAVRE CITY-COUNTY AIRPORT	MT	48-33N	109-46W
KGPI	GLACIER PARK INTERNATIONAL  AIRPORT	MT	48-18N	114-16W
KYKM	YAKIMA AIR TERMINAL	WA	46-34N	120-32W
KLWS	LEWISTON NEZ PERCE CO AIRPORT 	ID	46-22N	117-01W
KHMS	Hanford	WA	46-34N	119-36W
KGEG	SPOKANE INTERNATIONAL AIRPORT 	WA	47-37N	117-32W
KAST	PORT OF ASTORIA AIRPORT	OR	46-09N	123-53W
KOLM	OLYMPIA AIRPORT	WA	46-58N	122-54W
KSEA	SEATTLE-TACOMA INTERNATIONAL  AIRPORT 	WA	47-27N	122-19W
